epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,1269.22,1.11968,1.66673,1.43235,0.55305,0.61643,0.56852,0.31326,1.65908,2.42754,2.50904,0.000479702,0.000479702,0.000479702
21,1339.13,1.16629,1.85758,1.49209,0.41409,0.62353,0.5237,0.29128,1.59324,2.42673,2.38833,0.000464476,0.000464476,0.000464476
22,1405.66,1.2108,1.81413,1.51631,0.62282,0.57397,0.58252,0.3036,1.80168,2.60712,2.61479,0.00044925,0.00044925,0.00044925
23,1474.57,1.17919,1.70971,1.4604,0.60147,0.56671,0.64281,0.3407,1.64948,2.63658,2.40608,0.000434024,0.000434024,0.000434024
24,1543.91,1.15164,1.59495,1.55358,0.64083,0.72176,0.65303,0.34372,1.63932,2.33504,2.32697,0.000418797,0.000418797,0.000418797
25,1612.65,1.15495,1.7177,1.45071,0.693,0.7025,0.6727,0.33093,1.89472,2.41227,2.65174,0.000403571,0.000403571,0.000403571
26,1682.29,1.19225,1.69299,1.51116,0.50915,0.65596,0.57524,0.24194,2.02787,2.43989,2.84265,0.000388345,0.000388345,0.000388345
27,1750.7,1.03923,1.65171,1.41081,0.59334,0.7281,0.67558,0.32905,1.81665,2.20696,2.4887,0.000373119,0.000373119,0.000373119
28,1816.75,1.21387,1.6117,1.48627,0.6353,0.79748,0.7744,0.42119,1.60146,2.11607,2.3326,0.000357893,0.000357893,0.000357893
29,1883.82,1.02565,1.55962,1.36595,0.79977,0.64191,0.8095,0.4258,1.73256,2.03717,2.56249,0.000342666,0.000342666,0.000342666
30,1955.71,1.11781,1.60123,1.44518,0.64668,0.76256,0.79401,0.44815,1.73229,2.08338,2.58092,0.00032744,0.00032744,0.00032744
31,2023.41,1.0926,1.38985,1.47463,0.59884,0.72784,0.73732,0.41722,1.6896,2.0791,2.46233,0.000312214,0.000312214,0.000312214
32,2094.32,0.97543,1.31451,1.33452,0.63896,0.72926,0.73563,0.41572,1.58445,1.97023,2.28054,0.000296988,0.000296988,0.000296988
33,2167.05,1.05254,1.43244,1.39731,0.75902,0.68846,0.7461,0.44501,1.57329,1.99105,2.22179,0.000281762,0.000281762,0.000281762
34,2242.67,1.08834,1.36179,1.40024,0.73566,0.72928,0.74516,0.44006,1.5666,1.9419,2.15178,0.000266535,0.000266535,0.000266535
35,2319.37,0.98007,1.32747,1.31831,0.69565,0.78504,0.75707,0.47767,1.54482,1.82889,2.181,0.000251309,0.000251309,0.000251309
36,2397.22,1.08109,1.47391,1.36761,0.67941,0.8241,0.77685,0.49427,1.57636,1.913,2.29717,0.000236083,0.000236083,0.000236083
37,2472.61,0.96506,1.23263,1.26199,0.69893,0.82542,0.78511,0.47218,1.67311,1.96971,2.38827,0.000220857,0.000220857,0.000220857
38,2546.78,0.93505,1.49883,1.31989,0.72425,0.77805,0.79417,0.47556,1.65961,1.866,2.3102,0.000205631,0.000205631,0.000205631
39,2618.03,1.12076,1.29428,1.46704,0.75395,0.8429,0.79923,0.52641,1.55274,1.73854,2.19523,0.000190404,0.000190404,0.000190404
40,2692.7,0.90967,1.30663,1.30807,0.73204,0.81861,0.80751,0.50151,1.55924,1.79561,2.21356,0.000175178,0.000175178,0.000175178
41,2764.26,0.86301,1.4852,1.31623,0.73885,0.78882,0.79666,0.47804,1.62578,1.88508,2.24361,0.000159952,0.000159952,0.000159952
42,2837.39,0.79432,1.33832,1.2971,0.71074,0.73929,0.77643,0.46057,1.68344,2.07548,2.30347,0.000144726,0.000144726,0.000144726
43,2906.65,0.77366,1.48153,1.31522,0.75759,0.82182,0.79735,0.48613,1.65271,1.86052,2.31181,0.0001295,0.0001295,0.0001295
44,2973.01,0.86879,1.6822,1.30915,0.80102,0.76947,0.79667,0.49421,1.64439,1.74996,2.35956,0.000114273,0.000114273,0.000114273
45,3041.23,0.79286,1.32583,1.30104,0.78184,0.7868,0.79505,0.49706,1.63698,1.74772,2.37873,9.90472e-05,9.90472e-05,9.90472e-05
46,3113.37,0.65751,1.76689,1.10492,0.77644,0.80721,0.81036,0.50517,1.58652,1.75203,2.32857,8.3821e-05,8.3821e-05,8.3821e-05
47,3180.25,0.69514,1.20898,1.20016,0.76055,0.8119,0.80109,0.50022,1.59896,1.75051,2.33669,6.85948e-05,6.85948e-05,6.85948e-05
48,3243.93,0.68299,1.16171,1.20825,0.79703,0.82115,0.81255,0.52312,1.54574,1.77123,2.26125,5.33686e-05,5.33686e-05,5.33686e-05
49,3307.25,0.74018,1.36818,1.23677,0.75259,0.83809,0.80842,0.52197,1.55324,1.72082,2.26886,3.81424e-05,3.81424e-05,3.81424e-05
50,3388.04,0.71435,1.39013,1.25113,0.75334,0.85619,0.81391,0.52394,1.55083,1.71952,2.26702,2.29162e-05,2.29162e-05,2.29162e-05
