epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2335,1.32008,3.72913,1.68519,0.04353,0.83466,0.11573,0.07196,1.10822,4.14168,1.85771,7.69e-05,7.69e-05,7.69e-05
2,112.866,1.24389,3.63047,1.55523,0.03925,0.92196,0.2182,0.13492,1.14129,4.12634,1.80191,0.000158292,0.000158292,0.000158292
3,169.262,1.25988,3.51463,1.56897,0.02389,0.97222,0.24361,0.1322,1.21299,4.11829,1.84489,0.000236335,0.000236335,0.000236335
4,226.442,1.15925,3.3213,1.54474,0.01597,1,0.24002,0.13852,1.24851,3.95048,1.9389,0.000311028,0.000311028,0.000311028
5,282.837,1.16763,3.09644,1.50033,0.01198,1,0.27619,0.13626,1.36029,3.98595,2.02997,0.000382371,0.000382371,0.000382371
6,339.261,1.2253,2.87629,1.53501,0.00963,0.96759,0.18032,0.08332,1.44296,4.21602,2.20529,0.000450365,0.000450365,0.000450365
7,395.168,1.26317,2.76969,1.61915,0.36508,0.49393,0.34636,0.13436,1.48074,3.84812,2.33104,0.000515009,0.000515009,0.000515009
8,451.044,1.30081,2.55388,1.6197,0.80435,0.04558,0.35132,0.15856,1.59951,3.67998,2.19191,0.000576302,0.000576302,0.000576302
9,513.785,1.24968,2.52036,1.58527,0.64332,0.33406,0.4667,0.2421,1.44237,3.35911,2.12208,0.000634247,0.000634247,0.000634247
10,588.629,1.42199,2.62318,1.8331,0.57573,0.51227,0.50044,0.26757,1.6546,3.19784,2.41433,0.000631964,0.000631964,0.000631964
11,660.666,1.20957,2.26694,1.54193,0.46538,0.42782,0.42852,0.21507,1.64687,3.15072,2.46615,0.000616738,0.000616738,0.000616738
12,728.406,1.22161,2.14369,1.54627,0.43148,0.46276,0.39531,0.22428,1.55286,3.74045,2.37006,0.000601512,0.000601512,0.000601512
13,799.472,1.2601,2.06747,1.55489,0.43601,0.6731,0.4474,0.26542,1.5342,3.2476,2.36852,0.000586286,0.000586286,0.000586286
14,864.759,1.25369,2.08954,1.56689,0.51476,0.64944,0.56516,0.31251,1.55576,2.75519,2.4138,0.000571059,0.000571059,0.000571059
15,931.989,1.23297,1.82444,1.49002,0.6983,0.43198,0.61606,0.36233,1.52077,2.82201,2.39708,0.000555833,0.000555833,0.000555833
16,1000.25,1.1461,1.85424,1.46678,0.57032,0.46997,0.58573,0.30085,1.56997,2.61603,2.40081,0.000540607,0.000540607,0.000540607
17,1065.09,1.24078,2.02308,1.58222,0.60746,0.48632,0.58206,0.30562,1.54484,2.84689,2.25412,0.000525381,0.000525381,0.000525381
18,1134.91,1.24159,1.83084,1.54033,0.71411,0.48808,0.52292,0.25137,1.80949,2.70113,2.73494,0.000510155,0.000510155,0.000510155
19,1200.07,1.2607,2.015,1.5982,0.70013,0.54104,0.60418,0.30014,1.86205,2.55886,2.94339,0.000494928,0.000494928,0.000494928
