epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.9828,0.88202,1.34711,1.27199,0.76929,0.80167,0.81412,0.48041,1.71761,2.17004,2.5648,7.69e-05,7.69e-05,7.69e-05
2,171.421,0.93694,1.20805,1.26641,0.78398,0.74846,0.76012,0.43237,1.71196,2.059,2.48052,0.000158292,0.000158292,0.000158292
3,241.345,0.95071,1.22486,1.27535,0.71405,0.82288,0.75476,0.44638,1.74499,1.97523,2.47027,0.000236335,0.000236335,0.000236335
4,335.174,0.8894,1.20814,1.26844,0.71014,0.78073,0.76578,0.45404,1.696,1.80282,2.41807,0.000311028,0.000311028,0.000311028
5,399.085,0.87792,1.12931,1.22738,0.7186,0.76127,0.74375,0.46047,1.57709,1.8965,2.29235,0.000382371,0.000382371,0.000382371
6,456.498,0.92964,1.18667,1.24484,0.54073,0.77474,0.75907,0.48887,1.49703,2.13762,2.21898,0.000450365,0.000450365,0.000450365
7,513.485,0.94845,1.20759,1.30784,0.61587,0.53209,0.66205,0.40235,1.48463,2.11256,2.21286,0.000515009,0.000515009,0.000515009
8,570.152,0.93959,1.224,1.31412,0.71819,0.28589,0.42591,0.22245,1.69465,2.81206,2.39058,0.000576302,0.000576302,0.000576302
9,626.686,0.92721,1.33133,1.28867,0.5893,0.51002,0.51897,0.27328,1.56972,2.50339,2.30371,0.000634247,0.000634247,0.000634247
