epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.4277,1.32008,3.72913,1.68519,0.04353,0.83466,0.11573,0.07196,1.10822,4.14168,1.85771,7.69e-05,7.69e-05,7.69e-05
2,133.591,1.24694,3.62753,1.5568,0.04319,0.93585,0.22094,0.12601,1.17882,4.14359,1.86286,0.000159891,0.000159891,0.000159891
3,199.883,1.22149,3.51106,1.5417,0.02351,0.93519,0.22763,0.11335,1.13934,4.09122,1.7924,0.000241208,0.000241208,0.000241208
4,266.176,1.17522,3.35602,1.54426,0.01408,1,0.22254,0.11681,1.26101,3.95213,2.13152,0.000320849,0.000320849,0.000320849
5,335.145,1.15114,3.10721,1.49329,0.83458,0.07937,0.18889,0.07489,1.45192,3.82341,2.15335,0.000398816,0.000398816,0.000398816
6,402.784,1.25756,2.88446,1.55543,1,0.04524,0.3187,0.15266,1.43674,3.77153,2.09412,0.000475107,0.000475107,0.000475107
7,470.871,1.29708,2.72759,1.64199,0.89933,0.12565,0.28693,0.16632,1.54807,3.56377,2.30616,0.000549724,0.000549724,0.000549724
8,537.575,1.28136,2.5713,1.61736,0.45072,0.24503,0.20841,0.114,1.72316,3.83449,2.35991,0.000622666,0.000622666,0.000622666
9,604.152,1.25264,2.52305,1.58766,0.39896,0.39893,0.38833,0.22429,1.5218,3.54395,2.23163,0.000693933,0.000693933,0.000693933
10,670.057,1.45309,2.62184,1.76943,0.33999,0.48633,0.31913,0.16779,1.71982,3.49667,2.29945,0.000700482,0.000700482,0.000700482
11,735.807,1.24987,2.2759,1.57952,0.33457,0.48715,0.35147,0.18836,1.70352,2.96033,2.40824,0.000692869,0.000692869,0.000692869
12,801.831,1.24874,2.23085,1.58578,0.28955,0.56508,0.35327,0.16448,1.8319,3.87921,2.75899,0.000685256,0.000685256,0.000685256
13,867.087,1.24224,2.10827,1.51949,0.43111,0.39425,0.33751,0.14114,1.67813,3.39275,2.61136,0.000677643,0.000677643,0.000677643
14,932.507,1.2707,2.08273,1.59885,0.61056,0.40618,0.44405,0.19909,1.74147,3.61115,2.62932,0.00067003,0.00067003,0.00067003
15,998.581,1.2795,1.89764,1.5346,0.49174,0.58162,0.50186,0.27977,1.67876,2.88276,2.68264,0.000662417,0.000662417,0.000662417
16,1064.85,1.17502,1.94801,1.4847,0.6378,0.48176,0.49684,0.28766,1.65752,2.83447,2.34332,0.000654804,0.000654804,0.000654804
17,1130.07,1.30442,2.07028,1.60269,0.58144,0.48705,0.4488,0.23715,1.68425,3.17917,2.41912,0.00064719,0.00064719,0.00064719
18,1196.66,1.21502,1.91536,1.49805,0.3573,0.59789,0.48176,0.20439,1.77383,2.99113,2.83569,0.000639577,0.000639577,0.000639577
19,1263.48,1.31344,2.0009,1.61284,0.46541,0.51654,0.50874,0.22189,1.83728,2.7176,2.89679,0.000631964,0.000631964,0.000631964
20,1329.15,1.17282,1.75808,1.47605,0.34763,0.5099,0.42477,0.18575,1.92906,2.75953,2.92217,0.000624351,0.000624351,0.000624351
