epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,1398.56,1.22111,1.91672,1.55808,0.35063,0.5391,0.46147,0.20743,1.96852,2.91332,3.00071,0.000616738,0.000616738,0.000616738
22,1464.22,1.26457,1.8749,1.60004,0.50617,0.63732,0.6331,0.33345,1.70149,2.57232,2.5978,0.000609125,0.000609125,0.000609125
23,1529.92,1.24159,1.77434,1.50655,0.5207,0.48505,0.47453,0.26162,1.65661,2.81549,2.51497,0.000601512,0.000601512,0.000601512
24,1595.36,1.12932,1.65402,1.48865,0.50707,0.64966,0.5069,0.27405,1.69669,2.67297,2.51758,0.000593899,0.000593899,0.000593899
25,1661.16,1.16547,1.8469,1.47156,0.58502,0.59881,0.54974,0.31789,1.7006,2.57828,2.4556,0.000586286,0.000586286,0.000586286
26,1725.2,1.2708,1.77991,1.56187,0.60346,0.76268,0.69098,0.40535,1.57456,2.26537,2.22084,0.000578672,0.000578672,0.000578672
27,1788.31,1.11933,1.67304,1.49092,0.71512,0.65961,0.712,0.41703,1.56386,2.30504,2.25245,0.000571059,0.000571059,0.000571059
28,1851.36,1.22651,1.68442,1.52103,0.68475,0.72319,0.71577,0.43315,1.64663,2.22722,2.35539,0.000563446,0.000563446,0.000563446
29,1916.4,1.06978,1.55916,1.40993,0.56992,0.6909,0.69646,0.3942,1.7002,2.37107,2.4119,0.000555833,0.000555833,0.000555833
30,1980.97,1.20529,1.63405,1.46996,0.63613,0.7601,0.73199,0.42747,1.6646,2.13372,2.38502,0.00054822,0.00054822,0.00054822
31,2046.88,1.17155,1.44251,1.52809,0.76925,0.71839,0.80908,0.47647,1.51648,2.11645,2.2525,0.000540607,0.000540607,0.000540607
32,2112.19,1.05398,1.36867,1.3856,0.81257,0.69966,0.76958,0.45981,1.55587,2.16805,2.26517,0.000532994,0.000532994,0.000532994
33,2179.92,1.16677,1.48811,1.46607,0.82003,0.64023,0.74064,0.44901,1.63991,2.13565,2.29997,0.000525381,0.000525381,0.000525381
34,2247.79,1.09763,1.3692,1.39934,0.75018,0.67591,0.76965,0.44599,1.61039,1.99982,2.2607,0.000517768,0.000517768,0.000517768
35,2315.19,1.02583,1.38611,1.35216,0.56923,0.69792,0.73574,0.43804,1.52537,2.05633,2.12557,0.000510155,0.000510155,0.000510155
36,2382.81,1.15235,1.58129,1.40585,0.62109,0.74662,0.6928,0.37002,1.7812,2.14334,2.39078,0.000502541,0.000502541,0.000502541
37,2448.28,1.04889,1.32158,1.31816,0.66799,0.69369,0.6814,0.36282,1.83317,2.07159,2.49485,0.000494928,0.000494928,0.000494928
38,2511.51,0.97993,1.51215,1.34742,0.73368,0.71503,0.78045,0.46617,1.5647,1.82653,2.27484,0.000487315,0.000487315,0.000487315
39,2571.96,1.04546,1.30953,1.43957,0.72086,0.71968,0.80363,0.46045,1.70824,1.83399,2.32658,0.000479702,0.000479702,0.000479702
40,2630.9,0.97479,1.35301,1.36368,0.70747,0.71391,0.74935,0.40878,1.76714,2.02882,2.40747,0.000472089,0.000472089,0.000472089
41,2689.96,1.05011,1.34398,1.39557,0.67492,0.69971,0.74162,0.41076,1.72969,2.01894,2.43703,0.000464476,0.000464476,0.000464476
42,2750.6,1.01521,1.50278,1.37535,0.68871,0.69122,0.73176,0.37342,1.80836,2.11091,2.62177,0.000456863,0.000456863,0.000456863
43,2812.3,0.95179,1.25976,1.3078,0.65513,0.5894,0.63563,0.37268,1.75439,2.08686,2.5532,0.00044925,0.00044925,0.00044925
44,2871.89,0.99802,1.37267,1.37112,0.66508,0.73023,0.71601,0.41964,1.60749,1.76695,2.35748,0.000441637,0.000441637,0.000441637
45,2930.97,1.05272,1.37077,1.38241,0.62594,0.71736,0.71145,0.44516,1.54244,1.78652,2.28192,0.000434024,0.000434024,0.000434024
46,2990.67,0.98724,1.19096,1.33736,0.67549,0.57671,0.70329,0.42108,1.63403,1.85325,2.29913,0.000426411,0.000426411,0.000426411
47,3050.44,0.85121,1.86062,1.16512,0.63274,0.74182,0.72778,0.44066,1.50394,1.9048,2.1564,0.000418797,0.000418797,0.000418797
48,3111.08,0.9632,1.14006,1.3053,0.73548,0.70488,0.72248,0.45376,1.55366,1.78784,2.27522,0.000411184,0.000411184,0.000411184
49,3170.77,0.94097,1.22847,1.28825,0.76622,0.71579,0.73946,0.43372,1.69325,1.88682,2.45405,0.000403571,0.000403571,0.000403571
50,3230.48,0.98813,1.22373,1.31307,0.697,0.76767,0.76832,0.43554,1.72971,1.86742,2.52674,0.000395958,0.000395958,0.000395958
51,3289.21,0.95244,1.13145,1.30714,0.73631,0.72887,0.79465,0.46001,1.60434,1.72827,2.33341,0.000388345,0.000388345,0.000388345
52,3347.85,1.03246,1.20331,1.39845,0.74335,0.7717,0.80056,0.47465,1.55484,1.63904,2.2505,0.000380732,0.000380732,0.000380732
53,3406.11,0.95481,1.1462,1.30186,0.70675,0.83482,0.78399,0.47604,1.63362,1.7072,2.31134,0.000373119,0.000373119,0.000373119
54,3464.29,0.94747,1.2383,1.3003,0.68679,0.74948,0.70422,0.42124,1.63232,1.80981,2.34529,0.000365506,0.000365506,0.000365506
55,3523.1,1.00715,1.27565,1.34841,0.57611,0.76802,0.6908,0.42988,1.54416,1.86453,2.21555,0.000357893,0.000357893,0.000357893
56,3581.59,0.89933,1.04764,1.25877,0.60904,0.73455,0.73172,0.43713,1.72186,1.87043,2.41489,0.00035028,0.00035028,0.00035028
57,3640.16,0.96747,1.27203,1.38324,0.71852,0.71024,0.77521,0.46735,1.69662,1.80445,2.37385,0.000342666,0.000342666,0.000342666
58,3698.86,0.94922,1.08288,1.27402,0.70748,0.7893,0.79403,0.50421,1.5115,1.80274,2.18372,0.000335053,0.000335053,0.000335053
59,3757.2,0.84404,1.01586,1.27752,0.70691,0.77386,0.81137,0.50121,1.54255,1.78591,2.24104,0.00032744,0.00032744,0.00032744
60,3815.61,0.97054,1.24885,1.32347,0.68197,0.73636,0.80404,0.4852,1.54487,1.86495,2.24558,0.000319827,0.000319827,0.000319827
61,3876.5,0.94968,1.20724,1.2607,0.74785,0.68379,0.82348,0.49584,1.48392,1.83252,2.21486,0.000312214,0.000312214,0.000312214
62,3951.89,0.89816,1.19367,1.24182,0.74399,0.76315,0.81817,0.49804,1.53909,1.77549,2.27749,0.000304601,0.000304601,0.000304601
63,4021.72,0.84497,1.02018,1.22176,0.6988,0.89127,0.82559,0.48017,1.59298,1.74694,2.39311,0.000296988,0.000296988,0.000296988
64,4089.23,0.7779,0.93561,1.18697,0.70029,0.90516,0.84364,0.48677,1.65265,1.60852,2.48041,0.000289375,0.000289375,0.000289375
65,4156.18,0.87289,1.15322,1.27254,0.67344,0.86983,0.82072,0.48284,1.69608,1.65937,2.54571,0.000281762,0.000281762,0.000281762
66,4222.56,0.83921,0.99837,1.19018,0.64631,0.84109,0.81885,0.45539,1.76741,1.82591,2.60919,0.000274148,0.000274148,0.000274148
67,4292.05,0.85002,0.97022,1.22666,0.67735,0.74016,0.78471,0.47886,1.67036,1.73054,2.55363,0.000266535,0.000266535,0.000266535
68,4358.7,0.90335,0.99517,1.31816,0.70436,0.71385,0.77966,0.46173,1.63438,1.70331,2.53428,0.000258922,0.000258922,0.000258922
69,4422.83,0.83194,1.05485,1.27378,0.601,0.85107,0.78464,0.46627,1.67885,1.65354,2.55068,0.000251309,0.000251309,0.000251309
70,4486.36,0.83779,1.01186,1.19901,0.71708,0.77371,0.82221,0.50135,1.60204,1.57495,2.42895,0.000243696,0.000243696,0.000243696
71,4552.32,0.83712,0.9231,1.21228,0.72719,0.84458,0.83684,0.51255,1.57666,1.5869,2.40233,0.000236083,0.000236083,0.000236083
72,4623.11,0.85898,0.97187,1.20475,0.77784,0.81425,0.83136,0.48318,1.78002,1.769,2.64184,0.00022847,0.00022847,0.00022847
73,4683.55,0.8533,0.98923,1.28087,0.77494,0.82133,0.83128,0.48538,1.78293,1.7808,2.66406,0.000220857,0.000220857,0.000220857
74,4741.1,0.82873,1.0393,1.22101,0.72443,0.8073,0.83397,0.50516,1.67372,1.56359,2.49233,0.000213244,0.000213244,0.000213244
75,4799.15,0.76664,1.05749,1.18808,0.74189,0.79072,0.82961,0.4967,1.72858,1.53695,2.5635,0.000205631,0.000205631,0.000205631
76,4857.47,0.83312,1.07054,1.25294,0.72366,0.8218,0.81991,0.49664,1.67276,1.61838,2.52075,0.000198018,0.000198018,0.000198018
77,4917.02,0.80583,1.09982,1.23613,0.72327,0.7692,0.80452,0.47017,1.71435,1.61874,2.53712,0.000190404,0.000190404,0.000190404
78,4972.34,0.75943,0.96761,1.18747,0.72046,0.77459,0.7802,0.46532,1.66126,1.71957,2.43466,0.000182791,0.000182791,0.000182791
79,5029.33,0.76088,0.88325,1.18499,0.71898,0.75981,0.75265,0.45692,1.63291,1.67554,2.48394,0.000175178,0.000175178,0.000175178
80,5095.84,0.76894,0.86124,1.20689,0.74059,0.77384,0.78934,0.47434,1.61986,1.65542,2.48669,0.000167565,0.000167565,0.000167565
81,5160.72,0.74426,0.8775,1.149,0.77907,0.79823,0.80527,0.48987,1.57259,1.59368,2.4324,0.000159952,0.000159952,0.000159952
82,5226.22,0.71981,0.88479,1.13836,0.79724,0.8044,0.81988,0.4843,1.5321,1.56132,2.41801,0.000152339,0.000152339,0.000152339
83,5287.67,0.83397,0.98674,1.25078,0.77019,0.82646,0.81163,0.47171,1.53744,1.50006,2.41632,0.000144726,0.000144726,0.000144726
