epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7642,0.72608,1.05027,1.16593,0.80637,0.86707,0.846,0.53132,1.57863,1.72365,2.38107,7.69e-05,7.69e-05,7.69e-05
2,115.265,0.90123,1.23684,1.29777,0.74952,0.77812,0.78917,0.48906,1.62811,1.8658,2.47895,0.000108198,0.000108198,0.000108198
3,173.051,0.92123,1.25075,1.3037,0.80373,0.82334,0.82521,0.51815,1.60674,1.73716,2.45601,8.36672e-05,8.36672e-05,8.36672e-05
